"","X5","stratWins","stratPlace","stratShow","X10","stratWins.1","stratPlace.1","stratShow.1","X15","stratWins.2","stratPlace.2","stratShow.2","X20","stratWins.3","stratPlace.3","stratShow.3","X25","stratWins.4","stratPlace.4","stratShow.4","X30","stratWins.5","stratPlace.5","stratShow.5","X35","stratWins.6","stratPlace.6","stratShow.6","X40","stratWins.7","stratPlace.7","stratShow.7","X45","stratWins.8","stratPlace.8","stratShow.8","X50","stratWins.9","stratPlace.9","stratShow.9","X55","stratWins.10","stratPlace.10","stratShow.10","X60","stratWins.11","stratPlace.11","stratShow.11","X65","stratWins.12","stratPlace.12","stratShow.12","X70","stratWins.13","stratPlace.13","stratShow.13","X75","stratWins.14","stratPlace.14","stratShow.14","X80","stratWins.15","stratPlace.15","stratShow.15","X85","stratWins.16","stratPlace.16","stratShow.16","X90","stratWins.17","stratPlace.17","stratShow.17","X95","stratWins.18","stratPlace.18","stratShow.18","X100","stratWins.19","stratPlace.19","stratShow.19"
"1",5,4.913,4.216,3.366,10,2.6095,2.9835,2.4225,15,1.768,2.0655,1.9975,20,1.3175,1.615,1.4875,25,0.9775,1.3515,1.3855,30,0.7225,1.1475,1.122,35,0.595,0.9265,0.9945,40,0.493,0.799,0.85,45,0.4165,0.646,0.7735,50,0.357,0.527,0.731,55,0.3145,0.476,0.6205,60,0.2635,0.459,0.5355,65,0.2465,0.3995,0.459,70,0.1955,0.3315,0.4505,75,0.153,0.323,0.357,80,0.1105,0.34,0.323,85,0.1105,0.289,0.306,90,0.1105,0.238,0.289,95,0.1105,0.2125,0.272,100,0.1105,0.153,0.2975
"2",5,2.941,0.7565,0.799,10,2.448,0.782,0.255,15,2.227,0.782,0.289,20,2.006,0.867,0.2975,25,1.8275,0.918,0.2805,30,1.6745,0.9945,0.2635,35,1.5895,0.9435,0.3315,40,1.5045,0.884,0.4335,45,1.4705,0.765,0.4335,50,1.36,0.782,0.4165,55,1.3005,0.7055,0.5015,60,1.2155,0.731,0.51,65,1.173,0.697,0.476,70,1.122,0.7225,0.4675,75,1.0625,0.7225,0.442,80,0.9775,0.731,0.4675,85,0.952,0.714,0.459,90,0.9095,0.68,0.4675,95,0.884,0.6545,0.4675,100,0.8245,0.697,0.459
"3",5,3.1875,0.612,0.7225,10,2.8645,0.5865,0.1785,15,2.567,0.748,0.1445,20,2.3375,0.799,0.221,25,2.1335,0.8755,0.255,30,1.9975,0.884,0.2805,35,1.8955,0.8585,0.34,40,1.802,0.867,0.306,45,1.7255,0.7565,0.391,50,1.6745,0.765,0.3485,55,1.615,0.7395,0.3655,60,1.5725,0.714,0.34,65,1.53,0.7395,0.3485,70,1.5045,0.7225,0.323,75,1.4195,0.765,0.306,80,1.36,0.7735,0.2805,85,1.36,0.731,0.2975,90,1.309,0.731,0.323,95,1.275,0.714,0.34,100,1.241,0.7225,0.3145
"4",5,3.4255,1.139,1.003,10,2.7965,1.037,0.578,15,2.431,1.0455,0.5355,20,2.057,1.139,0.5525,25,1.7935,1.105,0.6035,30,1.598,1.1305,0.6545,35,1.4365,1.139,0.6205,40,1.3345,1.0795,0.663,45,1.224,0.9945,0.646,50,1.156,0.9095,0.646,55,1.088,0.833,0.6205,60,1.02,0.782,0.578,65,0.918,0.7905,0.578,70,0.884,0.748,0.578,75,0.816,0.765,0.544,80,0.7395,0.7225,0.5695,85,0.7225,0.663,0.561,90,0.697,0.612,0.544,95,0.6375,0.6375,0.4845,100,0.612,0.6205,0.4505
"5",5,2.9325,1.258,1.173,10,2.125,1.19,0.663,15,1.7595,1.0625,0.6545,20,1.411,1.0795,0.646,25,1.1985,0.9775,0.6205,30,0.986,0.9435,0.663,35,0.8415,0.8585,0.629,40,0.748,0.7735,0.5525,45,0.646,0.7055,0.5695,50,0.6205,0.646,0.5185,55,0.578,0.612,0.51,60,0.544,0.5695,0.459,65,0.476,0.5185,0.493,70,0.4165,0.51,0.4675,75,0.3825,0.4845,0.425,80,0.34,0.459,0.425,85,0.3145,0.4165,0.4335,90,0.2975,0.374,0.4165,95,0.2635,0.357,0.3995,100,0.255,0.306,0.425
"6",5,5.1595,0.816,0.4335,10,4.42,1.207,0.2805,15,4.0035,1.3515,0.442,20,3.6975,1.394,0.544,25,3.366,1.479,0.6035,30,3.0855,1.496,0.7225,35,2.8645,1.5045,0.731,40,2.6775,1.53,0.6715,45,2.5245,1.5045,0.714,50,2.3885,1.5385,0.697,55,2.2695,1.5045,0.7565,60,2.176,1.462,0.748,65,2.0655,1.445,0.7565,70,1.972,1.4195,0.8245,75,1.887,1.3685,0.7905,80,1.785,1.3345,0.782,85,1.7425,1.2665,0.8415,90,1.683,1.1815,0.833,95,1.598,1.1815,0.816,100,1.5725,1.0965,0.833
"7",5,4.4455,1.2665,0.68,10,3.655,1.4025,0.4675,15,3.128,1.581,0.561,20,2.7795,1.547,0.782,25,2.5415,1.4195,0.8415,30,2.159,1.479,0.9605,35,1.9465,1.394,0.9775,40,1.785,1.3005,0.9435,45,1.6235,1.2835,0.9095,50,1.513,1.19,0.8755,55,1.428,1.088,0.9265,60,1.343,0.969,0.952,65,1.224,0.9605,0.867,70,1.1645,0.9095,0.901,75,1.088,0.8755,0.8415,80,1.02,0.85,0.7735,85,0.986,0.799,0.7565,90,0.9605,0.7225,0.7395,95,0.9095,0.7225,0.646,100,0.884,0.6885,0.6545
"8",5,4.2075,1.632,1.2325,10,3.23,1.513,0.6035,15,2.703,1.5045,0.612,20,2.346,1.3345,0.816,25,2.0485,1.3685,0.7225,30,1.683,1.462,0.8075,35,1.5045,1.377,0.7395,40,1.377,1.292,0.7395,45,1.241,1.2325,0.714,50,1.1135,1.173,0.731,55,1.02,1.1135,0.8075,60,0.9605,1.0285,0.7395,65,0.8755,0.986,0.68,70,0.8075,0.986,0.6035,75,0.7565,0.8925,0.646,80,0.6715,0.8925,0.629,85,0.6545,0.7565,0.7055,90,0.6205,0.7055,0.646,95,0.595,0.629,0.595,100,0.5695,0.578,0.612
"9",5,4.692,1.649,1.122,10,3.757,1.564,0.646,15,3.247,1.6405,0.663,20,2.7965,1.717,0.6885,25,2.5925,1.5215,0.731,30,2.244,1.4875,0.9095,35,2.0145,1.4195,0.918,40,1.87,1.3685,0.8415,45,1.717,1.3345,0.765,50,1.547,1.3175,0.85,55,1.4535,1.19,0.9945,60,1.3175,1.224,0.952,65,1.2495,1.122,0.9095,70,1.1985,1.0965,0.8585,75,1.122,1.0455,0.867,80,1.054,1.0625,0.7735,85,1.054,0.952,0.8245,90,1.003,0.9265,0.8415,95,0.935,0.8585,0.799,100,0.8925,0.8585,0.782
"10",5,4.284,1.3515,1.0795,10,3.4255,1.377,0.578,15,2.9155,1.462,0.629,20,2.584,1.3685,0.748,25,2.3375,1.326,0.731,30,1.9635,1.4535,0.7565,35,1.785,1.377,0.799,40,1.615,1.258,0.8075,45,1.5385,1.1305,0.7735,50,1.377,1.122,0.816,55,1.258,1.0625,0.8245,60,1.1135,1.071,0.7565,65,1.0625,1.0115,0.6715,70,1.003,0.9265,0.697,75,0.9265,0.9605,0.595,80,0.867,0.935,0.6035,85,0.816,0.9095,0.6375,90,0.782,0.8415,0.663,95,0.7055,0.833,0.646,100,0.6885,0.799,0.663
"11",5,3.7655,2.465,1.8955,10,2.4905,1.8615,1.2665,15,1.8785,1.7595,1.0115,20,1.5045,1.53,1.0115,25,1.258,1.1985,1.0455,30,1.0455,1.0455,0.9605,35,0.8755,0.9945,0.8415,40,0.6885,0.918,0.782,45,0.6205,0.799,0.7905,50,0.544,0.68,0.799,55,0.459,0.663,0.68,60,0.391,0.6035,0.68,65,0.357,0.561,0.6035,70,0.3145,0.527,0.5525,75,0.272,0.4845,0.5355,80,0.255,0.4505,0.4845,85,0.2465,0.425,0.4505,90,0.221,0.4165,0.4335,95,0.204,0.374,0.391,100,0.1955,0.3485,0.3825
"12",5,4.6325,1.9975,1.496,10,3.4255,1.8105,1.0115,15,2.703,1.87,0.8585,20,2.2695,1.802,0.8415,25,1.972,1.615,0.867,30,1.6405,1.564,0.884,35,1.4705,1.4195,0.935,40,1.3005,1.275,0.935,45,1.1475,1.207,0.8925,50,1.0285,1.105,0.9265,55,0.935,0.986,0.935,60,0.85,0.9095,0.9265,65,0.799,0.833,0.85,70,0.697,0.8245,0.8245,75,0.6375,0.7905,0.7565,80,0.595,0.748,0.7225,85,0.5525,0.7395,0.748,90,0.5185,0.68,0.731,95,0.5015,0.646,0.612,100,0.4845,0.578,0.629
"13",5,4.284,2.1505,1.6405,10,3.094,1.7,1.19,15,2.3205,1.7,1.071,20,1.9635,1.4875,1.0795,25,1.666,1.428,0.8755,30,1.394,1.2835,0.9095,35,1.173,1.1985,0.884,40,1.0285,1.0795,0.884,45,0.8925,1.054,0.816,50,0.765,0.986,0.8245,55,0.731,0.8585,0.816,60,0.646,0.816,0.799,65,0.6035,0.731,0.782,70,0.544,0.6885,0.7395,75,0.4675,0.697,0.646,80,0.4335,0.6375,0.629,85,0.3825,0.646,0.6205,90,0.357,0.5695,0.612,95,0.306,0.5355,0.5355,100,0.2975,0.476,0.527
"14",5,4.403,2.9495,2.312,10,2.8305,2.2015,1.5555,15,2.04,1.9125,1.343,20,1.615,1.564,1.2665,25,1.343,1.2835,1.071,30,1.1305,0.9945,1.139,35,0.9435,0.9265,0.9945,40,0.816,0.8245,0.8415,45,0.714,0.748,0.748,50,0.612,0.7055,0.7055,55,0.51,0.6885,0.731,60,0.4505,0.6375,0.6375,65,0.4165,0.578,0.612,70,0.34,0.544,0.561,75,0.272,0.578,0.476,80,0.272,0.5355,0.4505,85,0.221,0.5355,0.442,90,0.2125,0.4335,0.4505,95,0.204,0.374,0.4505,100,0.204,0.357,0.4335
